#,Linear ID,Refined Feature Name,Original Name,Strategy,Theme,Category,Value Proposition,Complexity,Raw Input
28,ROUTE-588,W-2 vs. 1099 Workforce Definition,"Define Workforce, Employees, and Contractors",Now,Compliance,Profile,Separates W-2 headcount from 1099 contractor count,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1758326856070329)

> Please add to the Route Dictionary the following words which we will need to make sure we are using correctly in our communications and profiles, e.g. 1099 Independent Contractors are not employees and when we ask or discuss employee count, we need to keep these numbers separate to help contractors reinforce the clear difference between the two. That said, we can use the word TOTAL WORKFORCE which refers to all individuals engaged in work for a company, regardless of employment type. This includes full-time and part-time W-2 employees, as well as 1099 independent contractors, subcontractors, and temporary staff.W-2 Employees: W-2 employees are individuals who work directly for a company and receive wages reported on IRS Form W-2. They are on the company’s payroll, with taxes (income tax, Social Security, Medicare) withheld by the employer.1099 Independent Contractors: 1099 independent contractors are self-employed individuals or businesses that provide services to a company under a contractual agreement. Unlike W-2 employees, they are not on the company’s payroll—they are responsible for paying their own income taxes, Social Security, and Medicare, and they do not receive employee benefits.
>
> Please add to the Route Dictionary the following words which we will need to make sure we are using correctly in our communications and profiles, e.g. 1099 Independent Contractors are not employees and when we ask or discuss employee count, we need to keep these numbers separate to help contractors reinforce the clear difference between the two. That said, we can use the word TOTAL WORKFORCE which refers to all individuals engaged in work for a company, regardless of employment type. This includes full-time and part-time W-2 employees, as well as 1099 independent contractors, subcontractors, and temporary staff.W-2 Employees: W-2 employees are individuals who work directly for a company and receive wages reported on IRS Form W-2. They are on the company’s payroll, with taxes (income tax, Social Security, Medicare) withheld by the employer.1099 Independent Contractors: 1099 independent contractors are self-employed individuals or businesses that provide services to a company under a contractual agreement. Unlike W-2 employees, they are not on the company’s payroll—they are responsible for paying their own income taxes, Social Security, and Medicare, and they do not receive employee benefits."
29,ROUTE-582,Maybe Subcontracting Option,"Add ""Maybe"" Option for Subcontract Status",Next,Engagement,Profile,Nurtures hesitant subs with opportunity alerts,Low,"## 💡 Feature Request Idea Summary

* The feature requests adding a third option, **""Maybe (Open To Review Opportunities)""**, to the existing ""Open To Subcontract Opportunities"" field for contractors. 
* The goal is to avoid closing the door completely on contractors who are hesitant to engage in subcontracting due to past negative experiences. 
* This ""Maybe"" status allows them to receive opportunity alerts, providing market insight and business intelligence, and encourages them to consider opportunities on a case-by-case basis. The intent is to nurture contractors and keep them engaged with the platform.

### 2\. User Story

* As a **Sales/Onboarding Team Member**, 
* I want to **set a contractor's subcontracting preference to ""Maybe (Open To Review Opportunities)""** 
* so that **I can nurture hesitant contractors by keeping them engaged with relevant opportunity alerts and eventually convert them to ""Yes.""**

### 3\. Acceptance Criteria (AC)

* The ""Open To Subcontract Opportunities"" field on the contractor profile/settings must include the following three selectable options for the user:
  * **Yes**
  * **No**
  * **Maybe (Open To Review Opportunities)**
* The selected option must be successfully saved to the backend system upon form submission.
* The backend alert system must include all companies where the ""Open To Subcontract Opportunities"" field is set to **""Yes""** OR **""Maybe (Open To Review Opportunities)""** in the distribution list for subcontract opportunity alerts.
* Companies selecting **""No""** must be excluded from receiving these opportunity alerts.

---

## Open Questions for the Product Team

* **Data Field Name/Value:** What is the precise backend field name and the associated value for the ""Maybe (Open To Review Opportunities)"" option? (e.g., `is_open_to_subcontract: 'maybe'`).
* **System of Record:** Is this preference field being implemented in the new ""Exchange"" platform, or is this an update to an existing system like HubSpot?
* **""Maybe"" Field Value Persistence:** Does the ""Maybe"" preference persist indefinitely, or is there an intention to set an expiration date or require re-confirmation after a certain period (e.g., 6 months) to ensure the preference is still accurate?
* **Alert Customization:** For the MVP, should the content, format, or frequency of the alerts be identical for both ""Yes"" and ""Maybe"" users?

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1761080774314169)

![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/f9d495dd-1103-47ca-b795-4648c7e768d8/1247c21a-dc07-4a73-9691-d475e320dc19)"
30,ROUTE-580,State-Specific Mandatory Fields,State-Based Mandatory Profile Fields,Later,Compliance,Profile,Dynamically requires fields based on state (e.g. CA training),Medium,"## 💡 Feature Request Idea Summary

* The system needs to **dynamically adjust required form fields** on a user's profile based on the state they select, addressing state-specific compliance mandates.
* This adjustment should happen during the **profile creation/info input flow** for service partners.
* This feature aims to move the existing process out of the current ""Chat section"" and into a structured data collection flow, starting post-ISSA.

# User Story

* As a **Service Partner User**,
* I want the **profile input flow** to dynamically mark fields like 'Business License' or 'Training Certification' as **MANDATORY** based on the selected state,
* so that I am **guided to complete all state-mandated compliance requirements** and maintain a certified profile.

## **Acceptance Criteria (AC)**

* The user must be prompted to select the primary state of operation during the profile input/claiming flow.
* Upon selecting a state (e.g., California), specific related fields (e.g., Sexual Assault Training Certificate, Business License Number) must **immediately change from optional to mandated**.
* Mandatory fields must be visually indicated as required (e.g., with an asterisk $\*$).
* The user must be **prevented from submitting** their profile or advancing the flow until all state-mandated fields are complete and valid.
* If the user selects a state with no known mandates (e.g., State X), the fields must remain **optional**.

### 

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1762452962554959)

> hey team, coming out of signatory council meetings for service partner certification, there are a couple things that keep coming up that i wanted to toss out for consideration --
>
> 1. State by state needs related to business licenses
>    1. example: some states require business license, some states its optional to have.
> 2. state by state needs related to compliance
>    1. example: california requires sexual assault training. 
>
> 
> can/should we consider these statewide mandates?  the flow would be during info input/claiming profile flow, the user selects the state and certain form fields/elements transition to MANDATED instead of optional??"
31,ROUTE-579,Star Ratings & Reviews System,Ratings and Reviews,Next,Trust,Profile,1-5 star ratings with half increments and counter-responses,High,"# 💡 Feature Request Idea Summary

* Allow **internal users** (PRIME/SUBCONTRACTOR) to request and submit structured feedback/ratings on their collaborative work, possibly tied to a Quarterly Business Review (QBR) cycle.
* The feedback mechanism must use a **1-5 star rating** system with half-star increments and include a mandatory text **feedback field** for each question.
* All ratings and reviews must be viewable in a **detailed summary** that includes aggregation, filtering (e.g., date range, score), and **transparent counter-responses** while keeping the identities of the PRIME/SUBCONTRACTOR who rated them visible *only* to each other.

---

## User Story

* As a **PRIME or SUBCONTRACTOR user**,
* I want to **initiate, submit, and view structured, aggregated, and filterable ratings and reviews** for partnership opportunities with appropriate transparency and access controls,
* so that **performance is officially tracked, analyzed over time, and openly discussed** between the involved parties without public exposure of the partnership details.

## **Acceptance Criteria (AC)**

* The system must allow a user to initiate a rating/review for an active opportunity after a defined period (e.g., related to a QBR cycle).
* The rating form must require a **1-5 star rating** with **half-star increments** (1.0, 1.5, 2.0, etc.) and a **mandatory feedback field** for each question.
* The system must automatically calculate and display an **overall star rating** upon completion of the review.
* A dedicated dashboard must display submitted ratings and reviews individually and as an **aggregated summary**.
* The summary must include filtering options by **date range** (e.g., Past 6 Months, Past Year), **score** (e.g., highest to lowest), and **chronology** (e.g., newest to oldest).
* Users must be able to **submit a counter-response** to any submitted review.
* All submitted feedback and counter-responses must be visible and transparent to platform users.
* **Access Control:** The identity of the **PRIME and SUBCONTRACTOR** involved in a specific review must **only be visible to those two involved parties**; all other users must see an anonymized view.

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1763550444675709)

> Please add this RATINGS/REVIEW solution feedback as a placeholder on the roadmap and prioritization summary.  Focus on Row 1-22 with suggested platform to review.   [https://www.getfeedback.com/en/](https://www.getfeedback.com/en/)
> As far as timing of the ratings/reviews, we need 1) to allow some time to pass and engagement/work to occur before actively requesting feedback (I am thinking we use QBR - Quarterly Business Reviews Reminder to spur this feedback by active opportunity), 2) for each question we need a 1-5 star rating with 1/2 star integrals with feedback fields for each question - at the end of each rating review the data enter will produce an overall start rating.  The ratings/reviews will be viewable individually but also aggregated to provide a summary with filters, e.g. newest to oldest, highest to lowest, Past 6 Month, Past Year, Past 3 years, etc  and 3) we have to be transparent with the feedback and any counter responses although we do not want to share publicly the PRIMES and the SUBCONTRACTORS working together - this was a clear takeaway from ISSA (behind the scenes the PRIME and SUBCONTRACTOR will see who is rating and reviewing them).
> [https://docs.google.com/spreadsheets/d/1sSRvCrIuW9udsDP8--0ht4WQocliYJAB/edit?gid=1351795087#gid=1351795087](https://docs.google.com/spreadsheets/d/1sSRvCrIuW9udsDP8--0ht4WQocliYJAB/edit?gid=1351795087#gid=1351795087)"
32,ROUTE-578,Favorite/Save Subcontractor Button,Save/Favorite SubContractor,Later,UX,Search,Lets primes bookmark trusted subs for future use,Low,"## 💡 Feature Request Idea Summary

* The platform currently lacks the ability for a Prime Contractor to **save a Subcontractor as a ""Favorite""**.
* This feature is needed to **streamline the process** of re-engaging trusted subcontractors for future opportunities.
* This is especially important for users like Rozalado, who manage a network of reliable subcontractors.

---

## User Story

As a **Prime Contractor**, I want to be able to **designate a Subcontractor as a ""Favorite""** from their company profile or search results, so that I can **easily filter, find, and select them** for future opportunities.

## Acceptance Criteria

* A distinct **""Favorite"" icon/button** (e.g., a star or heart) must be visible on the Subcontractor's profile page and in the Subcontractor search results list.
* A Prime Contractor must be able to **toggle the ""Favorite"" status** on and off for any Subcontractor.
* Subcontractors are **not notified** when they are designated as a favorite by a Prime Contractor.
* The Prime Contractor's **Subcontractor Search** feature includes a **filter option** to display **only ""Favorite"" Subcontractors**.
* On the Subcontractor search results page, **Favorite Subcontractors must be visually highlighted or prioritized** (e.g., appearing at the top of the search results).

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1763823571873199)

> I thought we had in the MVP the ability to SAVE favorite Contractors.  Not seeing it as was looking to add Rozalado's subs to this favorites to see how it worked.  Please advise."
33,ROUTE-564,Award/Lost Notification Emails,Exchange Email Flow AWARD - LOST 11.25.25,Next,Notifications,Email,Automated emails with summary page link,Medium,"Award & Lost Email Notificaiton

[https://docs.google.com/document/d/1Kj8SSJfAIW1O1iA8BTsvJIjln0v-0m9M/edit?usp=sharing&ouid=108123573951759589107&rtpof=true&sd=true](https://docs.google.com/document/d/1Kj8SSJfAIW1O1iA8BTsvJIjln0v-0m9M/edit?usp=sharing&ouid=108123573951759589107&rtpof=true&sd=true)

## 💡 Feature Request Idea Summary

* The core feature is to create a **centralized, post-award opportunity summary page** within the platform, accessible via the ""View Opportunity Details"" link.
* This page must document all key **communication and shared files** (chat, attachments) between the Prime and Subcontractor.
* The feature must also involve adding the **Cell Phone number** to the platform's contact data for both Prime and Subcontractor profiles/awards.

---

1. [ROUTE-576](https://linear.app/get-route/issue/64a2a141-1534-4d4f-b892-a902494088d7)
2. [ROUTE-577](https://linear.app/get-route/issue/30d3251c-ec1a-4c3e-9d3b-db9d29b7e397)

---

# "
34,ROUTE-557,Chat Alerts & Unread Counts,Chat Functionality Feedback (see screen shot),Now,Communications,Chat,Shows unread counts; adds timestamps; daily digest,Medium,"1. Need unread message alert online, e.g. Connections (2).  This is a two way communications, so PRIME's view needs to be from their perspective, e.g. 2 unread messages, and SUB needs to see from their perspective (1) unread message.
2. How does the Prime get noticed they have a message or document?  How does Sub get notified when they get a message or document?  Thinking one daily email alert at 3 PM (local time) notifying of messages received in the past 24 hours.  If not messages, no email alert.
3. If multiple contacts chating, how do you know who is messaging?  Add Date/Time stamp

4\. Ability to EDIT or DELETE a text before someone responds.  Once a response is received, no more edit or deletions.Z
5. If Decline Applicant, require a required comment field as part of the DECLINE process. 

![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/d2cc4344-cf4f-4aed-a396-7afd9800e276/602f5042-75a6-47c3-b0af-79d544cd2698)"
35,ROUTE-552,Prime Contractor Network Dashboard,Exchange Network Dashboard for Prime Contractors,Later,Dashboard,Dashboard,Filterable grid view of all subcontractor data,High,"## 💡 Feature Request Idea Summary

* The core request is to **design and build a comprehensive ""Exchange Network Dashboard""** for Prime Contractors to manage and filter a large number of Subcontractor profiles.
* The dashboard requires a **specific set of data fields** to be displayed for each contractor, including company metrics, service capabilities, and utilization data (W-2/1099).
* The dashboard must include robust **filtering capabilities** based on these key data fields to support granular search and selection.

## User Story

As a **Prime Contractor**, I want a **searchable and filterable Exchange Network Dashboard** that displays **all critical subcontractor data fields in a customizable grid view**, so that I can **efficiently assess and select the most qualified subcontractors** from a large pool based on multiple criteria and perspectives.

## Acceptance Criteria

* **Dashboard Structure:** The dashboard presents Subcontractor data in a **tabular/grid layout** where each row is a company and each column is a data field (matching the spreadsheet structure).
* **Data Fields Displayed:** The dashboard must display (as columns) the key data fields outlined in the provided spreadsheet (e.g., Company Name, Location, **Company Size (W-2 Employees)**, **Subcontractor (1099) Companies**, **Percentage Of Work Subcontracted**, Insurance Liability Limit, Services Provided, etc.).
* **Filtering Capability:** The user must be able to **filter the list** based on all critical data fields, including, but not limited to:
  * **Location** (City/State/ZIP Code/Radius)
  * **Service Type** (Multi-select)
  * **Insurance Liability Limit** (Range filter: e.g., $\\ge \\$2M$)
  * **W-2 / 1099 Data** (Range filters on W-2 Employee Size and Percentage Of Work Subcontracted)
* **Sorting and Customization:** The Prime Contractor must be able to **sort the dashboard results** by any column header (e.g., by Location, W-2 Size, etc.) and **customize which columns are visible**.
* **Actionable Items:** Each Subcontractor row must include an **actionable link/button** to view the full profile and/or initiate contact/bidding.

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1763918276006669?thread_ts=1763823571.873199&cid=C098HEHN2HL)

> See below on how I envision the finally EXCHANGE NETWORK DASHBOARD looking/working, e.g. data points shared and filtering ability.  I have utilized platforms like this in the past and found this as the easiest way to view large amounts of data from multiple views/perspectives.
> KEY DATA FIELDS/LAYOUT [https://docs.google.com/spreadsheets/d/1NquKpZ41PdeXWaLovAy5mfjHOW2gFlfK/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true](https://docs.google.com/spreadsheets/d/1NquKpZ41PdeXWaLovAy5mfjHOW2gFlfK/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true)
> VO Mock-Up (NOTE: This mock up did not capture all the data fields requested)
> [https://v0.app/chat/exchange-dashboard-mockup-jgF5lyuxSP0?ref=W4R904](https://v0.app/chat/exchange-dashboard-mockup-jgF5lyuxSP0?ref=W4R904) "
36,ROUTE-550,24-Hour Quick Bid Button,Add a ICON/Tool that allows for quick OPEN 24 Hours Day,Now,Urgency,Opportunity,One-click sets bid deadline to 24 hours from now,Low,"## 💡 Feature Request Idea Summary

* The user needs a dedicated **tool or icon** to facilitate the creation of an opportunity that is **open for bidding for 24 hours**.
* This tool should be easily accessible, suggesting a **quick-action button** or similar UI element.
* The goal is to streamline the process for rapidly soliciting bids for time-sensitive needs.

## User Story

As an **Opportunity Creator (Prime Contractor)**, I want a **dedicated ""Quick 24-Hour"" button** on the opportunity creation screen, so that I can **instantly set the bidding window to close after exactly 24 hours** without manually adjusting the time/date.

## Acceptance Criteria

* A new, clearly labeled **ICON/Tool/Button** (e.g., ""24-Hour Quick Bid"" or clock icon) is added to the Opportunity Creation flow.
* When the user clicks this button, the system **automatically populates the bidding end date/time** to be exactly **24 hours from the current time** (or the time the opportunity is published/made live).
* Clicking the quick-action button must **overwrite any manually entered closing date/time**.
* The user must still have the **ability to manually adjust** the closing date/time after clicking the 24-hour button.

![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/df7a83aa-240b-47be-816c-415ff7bfcbe8/8050e67f-3ccf-4514-bae3-8c9f9b0ea7f2)"
37,-,Search Contractors by Name,Searching map by Name,-,Search,Search,Find contractors by company name not just ZIP,Low,
38,-,Leads Module,Leads,-,Expansion,Dashboard,Track big project opportunities,High,
39,-,Admin vs. Super Admin Permissions,Role Permissions (Admin vs super admin),-,Security,Admin,Differentiated access levels,Medium,
40,-,Multiple Emails Per User,Multiple Emails per user,-,Admin,Profile,Allow multiple email addresses per contact,Low,
41,-,Subcontractor Take Rate Tracking,Subcontractor Take Rate,Later,Financial,Dashboard,Track revenue share with platform,Medium,
42,ROUTE-611,EMR Document Upload + AI Extraction,EMR Data Capture and Future Safety Metrics,Parked,Vetting,Profile,Scans uploaded EMR docs for safety score,Medium,
43,ROUTE-601,COI Renewal Reminders,"COI Data Capture, Policy Management, and AI OCR",Parked,Compliance,Automation,Alerts at 90/60/30 days before COI expires,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1755288101572809)

> ""@Mitesh Shah @Om @Willow Kowalski Attached is a link to a document that outlines the key data fields we need to begin collecting from each company’s Certificate of Insurance (COI). These fields will eventually become searchable within Marketplace. The long-term vision is twofold: Policy Management & Reminders We’ll automate notifications for upcoming COI renewals—alerting both the contractor (at 90, 60, and 30 days out) and the PRIME (at 15 days out and again on the expiration date, if no update has been made). This ensures better compliance and fewer surprises across all subcontractor relationships. Insurance Optimization & Revenue Opportunities By analyzing this data, we’ll be able to flag when a contractor may be over- or under-insured—helping them ""rightsize"" their coverage to match the scale of their business. Additionally, by capturing the insurance carrier name and expiration date, we create a window of opportunity to collaborate with our insurance partners—enabling us to:Offer early outreach and support to help contractors secure the best-fit policies. Generate dual revenue streams through both access to carrier/expiration data and recurring commissions from successfully closed insurance opportunities. Overall, have to believe there’s a strong opportunity to leverage OCR or AI technology to scan uploaded COIs and auto-populate or update the required data fields. This would streamline the process significantly and ensure accuracy at scale.Let me know if you have any questions as you review the document.
>
> [https://docs.google.com/document/d/1D8GPOMz_3Ro3-YGxrkbG3S6yDeI7Y3ow/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true](https://docs.google.com/document/d/1D8GPOMz_3Ro3-YGxrkbG3S6yDeI7Y3ow/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true)"
44,ROUTE-587,Contact Visibility & Notification Controls,Control Contact Profile and Notification Settings,Parked,Admin,Profile,Per-contact public/private and alert settings,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1758207452173839)

> As a company contact, I want to manage my profile, including its visibility and communication preferences, so that I can control what information is shared and receive only the notifications that are relevant to me.
>
> A user can access and edit contact settings. A user can select which types of emails and notifications they want to receive (e.g., sales opportunities, live events, platform updates). A user can set their profile visibility to either public (shared in the company profile) or private. All changes to a user's profile and communication settings are saved and accurately reflected across the system. The back-end system uses these preferences to properly filter and deliver communications. The system is capable of syncing contact data and preferences with external platforms like HubSpot without data loss.
>
> ADD TO PARKING LOT: As we go deeper into each respective company via coaching, sales, marketing, accounts payable, etc. we have a growing number of contacts we are capturing for each of these companies. I am assuming these contacts within HubSpot will eventually make it over to Route Marketplace or vice versa. To that end, each of these contacts will have 1) unique profiles on if/when/where their contact info is shared within Route Marketplace and 2) the email notices they should/need to receive.For example, a primary sale contact for a company needs to have their information shared in the company profile although there are 2 other sales contacts within the company. that may or may not need to be listed On the reverse side each of these three sales contacts want to be alerted to sales opportunity, although the president, director of marketing, accounts payables lead will not need to get these notices although they would like to be made aware of live events we are hosting, platform updates, etc. In short lots of communications variables. Sending this feedback over as would like to make it a topic when time is right. Keep in mind we will need to consider if/when/how C&C, TJS, MHCB also play into this profile set up under TEAM PROFILE and/or individual PROFILE."
45,ROUTE-581,After-Hours Emergency Phone Field,After Hours Contact Info,Parked,Profile,Profile,Mandatory emergency contact for paid primes,Low,"## 💡 Feature Request Idea Summary

* The core feature is to **enhance contact information capture** on Contractor profiles by adding specific, distinguishable fields for different contact needs: an **Emergency/After Hours number** and separate **Cell/Office numbers**.
* This addresses a priority request to improve critical communication channels for clients and partners.

## User Story

* As a **Contractor User**,
* I want to have **separate, designated fields for Phone, Cell, and a mandatory After Hours/Emergency number** on my profile,
* so that all necessary parties can **contact me efficiently based on urgency and time of day**, improving communication and response times for critical events.

## **Acceptance Criteria (AC)**

* The Contractor profile input form must be updated to include three distinct, separate fields for contact numbers:
  1. **After Hours/Emergency Number**
  2. **Cell (Mobile) Number**
  3. **Phone (Office/Landline) Number**
* The **After Hours/Emergency Number** field must be clearly labeled and treated as **mandatory** for Contractor completion.
* All three fields must accept and store valid phone number formats.
* The system must save and display these distinct numbers accurately on the Contractor's profile for relevant viewing parties.
* **Migration Consideration:** Existing contact data must be reviewed and handled appropriately to populate the most relevant new field (e.g., if only one number exists, it should default to the ""Phone"" field, leaving ""Cell"" and ""Emergency"" blank or requiring user update).

### 

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1762296037228269)

> Contractors required to enter After Hours/Emergency Number came up on a call with 4M today.  This was a request submitted last month and asking we move up on list after ISSA.  Also, cell phone number of contacts, e.g. they should have option for Phone and Cell to enter."
46,ROUTE-577,Cell Phone Field in Award Emails,Cell Phone Contact Addition,Parked,Notifications,Email,Includes cell number for immediate coordination,Low,"### Raw Request Text

> * ""Cell: **WE NEED TO ADD CELL TO PLATFORM**"" (Appears in both Subcontractor Awarded and Prime Awarded emails).

## The User Story

As a **Contractor (Prime or Sub)**, I want the system to **capture and display a Cell Phone number** for the primary contact in the company profile, so that the **awarded party has a direct, mobile contact method** for project coordination.

## Acceptance Criteria

* A new, optional field for **""Cell Phone""** is added to the **Company/Contact Profile** area of the platform.
* The Cell Phone number is validated to ensure it is in an **acceptable phone number format**.
* The **Award Notification email** (for both Prime and Subcontractor) displays the Cell Phone number if it is available for the respective contact."
47,ROUTE-561,Hot Opportunity Urgency Tag,Tag for Upsell Opportunity To Build Value and Sense Of Urgency Of Opportunity,Parked,Engagement,Opportunity,Visual tag to convey time-sensitive opportunities,Low,"Market   (City, State, Zip)
Industry
Account Type
Service Type(s)
Service Frequency
Total Cleanable Area (sq ft)
Contract Duration (Months)
Tag Work Opportunities (Y/N)
Start Date (Target)  xx/xx/xxxx
Scope of Work          View > Link to Log-In/Claim Company Profile
Claim Your Profile To View/Apply For This Opportunity
TAG LINE: ""More than a lead —an Exchange Opportunity"""
48,ROUTE-558,Open 24 Hours Service Checkbox,Service Hours Improvements,Parked,UX,Profile,Quick toggle for 24-hour service availability,Low,"1. See attached pic.  What hours are considered 24 hours day - need a consistent way to share?  It would be easier to have **Open 24 Hours** button for each day.

2\. If updates made and attempt to move past screen without SAVE, should have a DO YOU WISH TO SAVE YOUR UPDATES pop up with YES or NO

![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/14d9986d-86b6-4bea-b5e5-9c2cd6964079/0bc6af55-78d0-4a79-97d6-23c264c685fb)"
49,ROUTE-556,Award Email Template Polish,Feedback from SEJ Award Email,Parked,Notifications,Email,Fixes headers; adds links; clarifies instructions,Low,"FIRST SCREEN SHOT
1.Need to place Headers on these two items so clear what these data fields are:
xxxxx
Normal, IL - One time Machine Floor Sweeping and scrubbing
xxxxx
One time floor sweeping and scrubbing of 120K sqft - Wide open floors
2. Move up Contact name below Prime Company (should be together not separate)
3. VIEW OPPORTUNITY button leads to a page that does not bring much value, e.g. Map disappears, address missing, should have Prime Company and Contact with Contact info, etc..   Should it say COMPLETED or AWARDED?
4.  Need to place Headers on  data field so clear what it is.
xxxxx
1. Sweep/Scrub
Location Address
112 Rivian Motorway, Bloomington, Illinois 61761, Bloomington, Illinois 61761, United States
5. This we can tighten up the messaging here more.  See BOLD FEEDBACK
How to Get Started:

1. Review the opportunity details on the public page < WHAT DOES THIS MEAN?
2. Contact the prime company using the contact information provided above < CLARIFY TO DO WHAT?
3. Coordinate project timelines and requirements directly with the prime contractor
4. Access your dashboard to view all awarded opportunities < WE DO NOT CALL IT DASHBOARD ON THE WEBSITE.  NEED TO BE SPECIFIC AND CONSISTENT WITH TERMS.  CAN WE ADD A LINK?



6. Signature Line: Skip a line after Best Regards and are we saying Route Exchange Team or simply Exchange Team

![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/1a4e8492-4dc4-4eef-8f13-f68984f3791e/a33ef445-45e8-4258-ae69-c8e6bac1b65b)"
50,ROUTE-553,1099 Utilization Metrics,1099 vs W2 Calculations Adjustments,Parked,Data,Profile,Captures # of 1099 subs + % of work subcontracted,Low,"## 💡 Feature Request Idea Summary

* The existing **""W-2 vs 1099 Data Capture/Calculation""** needs to be updated to capture a more accurate and flexible view of a company's subcontracting utilization.
* The current **""Company Size (W-2 Employees)""** field should be made clearer by updating its header.
* The vague **""1099 Subcontracted %""** field should be replaced with **two specific, quantitative metrics** that allow Prime Contractors to better filter, assess, and engage with potential subcontractors.

## User Story

As a **Subcontractor**, 

I want to **input specific, standardized metrics** regarding my company's **W-2 employee size and 1099 subcontracting utilization**, 

so that **Prime Contractors can accurately filter and assess my company's capabilities** based on their self-performing vs. subcontracting requirements.

## Acceptance Criteria

* The header/label for the existing field tracking W-2 employee count is updated to **""Company Size (W-2 Employees)""**.
* The following new data fields are added to the company profile data capture section (replacing the current ""1099 Subcontracted %"" field):
  * **Number of Subcontractor (1099) Companies** (Input field for an integer/whole number).
  * **Percentage Of Work Subcontracted** (Input field for a percentage, allowing one decimal place, e.g., XX.X).
* Both new fields are **mandatory** to ensure Prime Contractors have the baseline information required for filtering.
* The system must store the data for the new fields and display them on the contractor's profile viewable by Prime Contractors.

---

[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1763990268639859)

> Based on feedback from Frank W. at The Facilities Group (they work with over 3,000 ISP - Independent Service Providers) as it pertains to the W-2 vs 1099 Data Capture/Calculation Discussion, they calculate from two angles - Revenue % and % Of Contract.  Revenue % is an easy to understand calculation, although while % Of Contract is easy to calculate at the Opportunity Level (can go % labor hours, % revenue, % people), when you start to roll all Opportunities and Contracts into a Company Level snapshot, the number becomes a little more gray and ""what it you want it to be for the client calculation"".
> Based on this feedback and other feedback collected, proposing we update the W-2 vs 1099 Data Capture/Calculation as follows:
>
> * a) For the **Company Size (W-2 Employees)** data point < suggest we update header as shown to left so clear and we still utilize and capture the current drop down range
> * b) For the **1099 Subcontracted %** < Since the feedback we are receiving is every company calculates this percentage differently, e.g. employee (individual) vs subcontractor (individual), revenue W-2 vs 1099, account count W-2 vs 1099, I suggest we capture this data with two data fields/numbers that will give the Prime's enough baseline info and insights to understand the level of subcontracting occurring with a given contractor.  Based on these two fields/numbers, the PRIME will be able to 1) filter in/out what they are looking for and 2) when a match is made determine if additional conversation is needed around a given opportunity, e.g. we want you to self performing this opportunity at minimum this percentage.  The two data fields/numbers are:
>
> > **Subcontractor Utilization Overview (Company Wide):**
>
> * **Number of Subcontractor (1099) Companies      xx**
> * **Percentage Of Work Subcontracted                     xx.x**    "
